,London,Paris,Brussels,Amsterdam,Luxembourg,Bern,Berlin,Copenhagen,Prague,Ljubljana,Vienna,Oslo,Bratislava,Madrid,Zagreb,Rome,Budapest,Warsaw,Stockholm,Sarajevo,Lisbon
London,nan,475345.0,372983.0,431505.0,566670.0,984310.0,1107368.0,1256793.0,1271294.0,1557927.0,1476580.0,1732474.0,1561508.0,1726860.0,1654476.0,1773963.0,1725701.0,1638945.0,1941990.0,2063134.0,2186284.0
Paris,464424,nan,326769.0,524317.0,406800.0,571072.0,1060170.0,1221687.0,1072341.0,1247948.0,1229561.0,1697368.0,1314489.0,1275035.0,1388122.0,1415426.0,1478682.0,1591747.0,1866533.0,1788510.0,1734667.0
Brussels,363471,317145,nan,220034.0,197623.0,654971.0,759941.0,917817.0,897118.0,1153525.0,1102404.0,1393498.0,1187332.0,1577537.0,1280300.0,1478530.0,1351525.0,1291518.0,1562663.0,1694087.0,2036961.0
Amsterdam,546534,506924,209506,nan,359353.0,832908.0,660948.0,798831.0,876672.0,1227484.0,1146137.0,1265421.0,1204259.0,1772089.0,1327164.0,1648541.0,1400677.0,1192525.0,1434586.0,1724664.0,2231513.0
Luxembourg,557293,406190,198826,371438,nan,479434.0,784841.0,924082.0,760776.0,970062.0,958541.0,1393879.0,1043469.0,1694241.0,1110236.0,1295067.0,1207662.0,1309101.0,1568345.0,1510624.0,2150030.0
Bern,963118,570863,663176,836609,481767,nan,961745.0,1232817.0,802495.0,837887.0,839644.0,1718474.0,924572.0,1532208.0,971385.0,924792.0,1088765.0,1442922.0,1877080.0,1371773.0,2011402.0
Berlin,1098136,1061592,769466,666910,743587,962802,nan,438839.0,349098.0,993296.0,690036.0,1030843.0,676685.0,2324588.0,1043275.0,1502771.0,873103.0,572467.0,1083974.0,1379116.0,2784012.0
Copenhagen,1263351,1237449,919609,795302,923025,1237122,438450,nan,806009.0,1387048.0,1115927.0,603838.0,1110631.0,2504026.0,1465718.0,1896523.0,1307049.0,1009462.0,657099.0,1813062.0,2963450.0
Prague,1271183,1031178,899742,883105,752390,810553,349759,774036,nan,706508.0,333500.0,1436830.0,328467.0,2239817.0,695057.0,1294390.0,524885.0,637509.0,1428143.0,1030898.0,2699241.0
Ljubljana,1563111,1250862,1175843,1237141,1005103,833368,998981,1389876,707530,nan,383910.0,2012392.0,449699.0,2048871.0,140427.0,752959.0,462999.0,1045652.0,2037871.0,537927.0,2611176.0
Vienna,1488169,1236103,1106882,1150887,957315,862043,680906,1105674,333119,383559,nan,1784613.0,78719.0,2390047.0,375239.0,1122051.0,242912.0,671128.0,1759290.0,748924.0,2858017.0
Oslo,1739417,1712787,1395675,1271368,1392182,1723411,1029191,602979,1396166,1977789,1706668,nan,1701372.0,2973183.0,2085796.0,2487264.0,1897790.0,1600203.0,525704.0,2403803.0,3432607.0
Bratislava,1555421,1322188,1190406,1209594,1043400,948128,676248,1109786,328461,449790,80133,1779955,nan,2476132.0,381551.0,1188282.0,201221.0,661925.0,1754632.0,707234.0,2944102.0
Madrid,1718544,1276467,1578732,1797501,1690568,1533129,2325604,2487121,2305053,2051199,2368705,2962802,2453633,nan,2187585.0,1947730.0,2513195.0,2857181.0,3131967.0,2585085.0,624728.0
Zagreb,1702676,1390427,1283167,1329733,1136161,971916,1044903,1473480,697007,140442,373387,2092008,365475,2196678,nan,885650.0,343260.0,1035347.0,2117743.0,399881.0,2743867.0
Rome,1781463,1421599,1478772,1652205,1297363,924548,1507447,1900000,1299391,752356,1119780,2472062,1187371,1945452,885854,nan,1214352.0,1783320.0,2546337.0,1286242.0,2507757.0
Budapest,1717938,1484705,1352923,1405941,1205917,1110645,872595,1297363,524808,462258,242650,1976302,200099,2526587,347517,1215559,nan,858494.0,1950979.0,533106.0,3073776.0
Warsaw,1632855,1596311,1294164,1199025,1275702,1448136,574663,1002725,741234,1043858,670850,1594599,661111,2856703,1035540,1782350,857529,nan,1647860.0,1363542.0,3316127.0
Stockholm,1908562,1867380,1564820,1440513,1568236,1881591,1083661,657449,1450495,2032259,1761138,522471,1755842,3149237,2122432,2541734,1952260,1654673,nan,2458273.0,3608661.0
Sarajevo,2102524,1790275,1682721,1729287,1535715,1371764,1376721,1801489,1028934,540290,746776,2480428,704225,2596526,403582,1285498,532343,1362398,2455105,nan,3143715.0
Lisbon,2178940,1735726,2039402,2246966,2152945,2010764,2786274,2947791,2687229,2613331,2846340,3423472,2931268,624963,2751424,2509862,3075327,3317851,3592637,3147217,nan
